"FIPS","State","County","PCT_NHWHITE10","PCT_NHBLACK10","PCT_HISP10","PCT_NHASIAN10","PCT_NHNA10","PCT_NHPI10","PCT_65OLDER10","PCT_18YOUNGER10","MEDHHINC15","POVRATE15","PERPOV10","CHILDPOVRATE15","PERCHLDPOV10","METRO13","POPLOSS10"
"01001","AL","Autauga","77.246156383427","17.582598816221","2.4005424126367","0.85576588297814","0.39764710194059","0.040314452731304","11.995382162687","26.777958989207","56580","12.7","0","18.8","0","1","0"
"01003","AL","Baldwin","83.504786985982","9.3084245466765","4.3848242942968","0.73519326255727","0.628754834993","0.04334348338957","16.771184813321","22.987408443749","52387","12.9","0","19.6","0","1","0"
"01005","AL","Barbour","46.753104854864","46.691189860509","5.0515351276541","0.38970025858615","0.21852350948756","0.087409403795025","14.236806643115","21.906981826128","31433","32","1","45.2","1","0","0"
"01007","AL","Bibb","75.020728780275","21.924503600262","1.7717652192887","0.096006982325987","0.27929303949378","0.030547676194632","12.681649574515","22.696923412612","40767","22.2","0","29.3","1","1","0"
"01009","AL","Blount","88.887338194759","1.2630403684449","8.0701999232406","0.20062105299885","0.49719130525802","0.031401556121559","14.722096228324","24.608352813928","50487","14.7","0","22.2","0","1","0"
"01011","AL","Bullock","21.916804104819","69.974344878138","7.1192963166575","0.18325087044163","0.18325087044163","0.036650174088327","13.459776433938","22.264980758659","28251","39.6","1","51.2","1","0","0"
"01013","AL","Butler","54.060247290781","43.189955602234","0.91182508235069","0.83066787606817","0.28166324533346","0.033417673175156","16.65632310116","24.137107939084","33868","25.8","1","36","1","0","1"
"01015","AL","Calhoun","73.613500657828","20.390142698107","3.2832371892184","0.69999662652228","0.40481732618156","0.079276726377222","14.328846607968","22.877239145835","42091","20","0","30.7","0","1","0"
"01017","AL","Chambers","58.141166155195","38.597106532223","1.5665643723513","0.48516732427298","0.16659359929855","0.020458863071752","16.676896098203","22.513517463101","35560","22.4","0","34.4","1","0","1"
"01019","AL","Cherokee","92.073569587133","4.6404247951056","1.2312901612221","0.18854130593713","0.46942937396591","0.0038477817538189","17.896032937012","21.416753241756","39144","19.4","0","30.2","0","0","0"
"01021","AL","Chilton","81.101207524689","9.5570881928373","7.8363082281236","0.28641477441972","0.30703663817794","0.025204500148936","13.566895034713","25.112847421121","42767","20.2","0","28.1","0","1","0"
"01023","AL","Choctaw","55.55956418212","43.221011617","0.52673353055776","0.086586333790317","0.12987950068548","0","18.175914568151","22.663972869615","35089","24.4","1","33.5","1","0","1"
"01025","AL","Clarke","53.97359965935","43.665079549414","1.0490457941393","0.28645530910076","0.37161769829288","0.015484070762203","16.157627840359","24.731932024929","37317","22.2","1","30.9","1","0","0"
"01027","AL","Clay","80.289979902383","14.699971289119","2.86391042205","0.16508756818834","0.39477461958082","0","17.578237151881","22.566752799311","38908","18.4","0","27.3","0","0","0"
"01029","AL","Cleburne","93.213999465669","3.2994923857868","2.0504942559444","0.15362009083623","0.33395671920919","0.0066791343841838","15.769436281058","23.717606198237","42136","18.9","0","27.7","0","0","0"
"01031","AL","Coffee","72.343236966445","16.531192440138","6.3666212861376","1.2593096820694","1.2052534636021","0.10210619043806","14.435012412909","24.193160887323","46858","16.2","0","23.7","0","0","0"
"01033","AL","Colbert","79.617108841038","15.988094363195","2.0081575659587","0.41155287719556","0.48136988314838","0.025722054824723","17.386271771882","22.109943411479","41171","18.1","0","26.9","0","1","0"
"01035","AL","Conecuh","51.133958270336","46.280616873299","1.2171152101603","0.12851527063804","0.33262775929846","0","17.856062896885","22.996673722407","29981","28.3","1","41","1","0","0"
"01037","AL","Coosa","65.89825808129","30.817228529335","1.9932403154519","0.12132767137534","0.34665048964382","0","17.072536614958","20.539041511396","36078","20.3","0","32.2","0","0","0"
"01039","AL","Covington","84.075201906527","12.405666622534","1.2789620018536","0.39189725936714","0.51899907321594","0.0026479544551834","18.374155964517","22.568515821528","36355","22.3","0","34.1","1","0","0"
"01041","AL","Crenshaw","72.055227959154","23.306486408744","1.4669926650367","1.3591255573134","0.4027038688336","0.0071911405148857","15.892420537897","23.788292823242","36759","19.9","0","29.6","1","0","0"
"01043","AL","Cullman","92.739347809865","1.0210680794966","4.295699325921","0.42161032758749","0.4937442479417","0.022386389075442","15.931646892023","23.183593264184","39290","19.4","0","24.7","0","0","0"
"01045","AL","Dale","71.053312371893","18.996636882848","5.613818630475","1.0487353485503","0.67063342023044","0.083580426260174","13.450478597441","24.829356629719","45294","18.5","0","29","0","0","0"
"01047","AL","Dallas","28.927430397079","69.178457325422","0.70515746234596","0.32861706983113","0.17800091282519","0.01369237790963","14.068918302145","26.460520310361","29682","34.6","1","50.1","1","0","1"
"01049","AL","DeKalb","81.560702583358","1.4470742100156","13.626967050584","0.23344443038153","1.2164423631327","0.049220211225021","13.887131024202","25.827954267392","37305","20.6","0","28.9","0","0","0"
"01051","AL","Elmore","74.964377135796","19.941238036392","2.6846399253496","0.6481469805682","0.33920532640632","0.063049317175895","11.898667137435","23.589271528189","53548","14","0","19.9","0","1","0"
"01053","AL","Escambia","61.348156267126","31.738824082048","1.8737440956184","0.22443174404342","3.3247214175735","0.031316057308385","15.167410423028","22.649338448289","36840","24.4","1","32","1","0","0"
"01055","AL","Etowah","79.27702767404","15.049315330844","3.3007756391841","0.62912956047113","0.35621947716174","0.028727377190463","15.807718088672","22.968495643014","42145","19","0","30.7","0","1","0"
"01057","AL","Fayette","86.027492604837","11.356649846297","1.1832260309727","0.21460472130387","0.27260599733194","0","17.887593527058","22.255089611971","37085","20.4","0","29.4","0","0","0"
