"FIPS","State","County","LACCESS_POP10","LACCESS_POP15","PCH_LACCESS_POP_10_15","PCT_LACCESS_POP10","PCT_LACCESS_POP15","LACCESS_LOWI10","LACCESS_LOWI15","PCH_LACCESS_LOWI_10_15","PCT_LACCESS_LOWI10","PCT_LACCESS_LOWI15","LACCESS_HHNV10","LACCESS_HHNV15","PCH_LACCESS_HHNV_10_15","PCT_LACCESS_HHNV10","PCT_LACCESS_HHNV15","LACCESS_SNAP15","PCT_LACCESS_SNAP15","LACCESS_CHILD10","LACCESS_CHILD15","LACCESS_CHILD_10_15","PCT_LACCESS_CHILD10","PCT_LACCESS_CHILD15","LACCESS_SENIORS10","LACCESS_SENIORS15","PCH_LACCESS_SENIORS_10_15","PCT_LACCESS_SENIORS10","PCT_LACCESS_SENIORS15","LACCESS_WHITE15","PCT_LACCESS_WHITE15","LACCESS_BLACK15","PCT_LACCESS_BLACK15","LACCESS_HISP15","PCT_LACCESS_HISP15","LACCESS_NHASIAN15","PCT_LACCESS_NHASIAN15","LACCESS_NHNA15","PCT_LACCESS_NHNA15","LACCESS_NHPI15","PCT_LACCESS_NHPI15","LACCESS_MULTIR15","PCT_LACCESS_MULTIR15"
"01001","AL","Autauga","18428.439685365","17496.693038086","-5.0560257036784","33.769657300333","32.062254747184","5344.4274724731","6543.676823866","22.439248311811","9.7935303961319","11.991125000213","664.21648720882","677.6727691801","2.0258879793595","3.2847855556541","3.3513316313738","931.93518635643","4.6087492525416","4822.5002687735","4616.9714798591","-4.2618720053826","8.837111778735","8.4604853857528","2388.2332282945","2180.8092847046","-8.6852465300451","4.3763779815185","3.996278764737","12640.6154135","23.163613299189","4216.4731935637","7.7265822388516","471.13616435006","0.86334530125901","86.767975169827","0.15900015607159","61.169869170957","0.1120922636033","8.8179607272614","0.01615869367844","482.84863289959","0.88480810851843"
"01003","AL","Baldwin","35210.814077776","30561.264429743","-13.204891081934","19.318472596371","16.767489331327","9952.1440269704","9886.8311369516","-0.65626954193772","5.4602606243494","5.4244265969613","1571.7799153413","1394.1627662917","-11.300382917222","2.1478271595262","1.9051144660996","950.53528970219","1.2989003685463","7916.1319316226","7007.9726753492","-11.472260241717","4.3431991504801","3.844936041121","6404.008602937","5580.6627895459","-12.856725598611","3.5135701330134","3.0618400622971","25483.186810956","13.981393471569","3540.965826456","1.9427568795194","1377.8748339605","0.7559733541604","212.94637839454","0.11683339006092","181.64964831147","0.099662386257082","14.819633808569","0.0081308171116611","1127.6960983076","0.6187123684238"
"01005","AL","Barbour","5722.3056022933","6069.523627589","6.0677994051298","20.840971709558","22.105560066974","3135.6760861758","2948.7902510239","-5.9599853433803","11.420315716123","10.739666573274","406.14237219433","425.14492736693","4.6787915946647","4.1358693706143","4.3293780790929","422.56904028837","4.3031470497797","940.41932654845","1031.9277764739","9.7306007375743","3.4250621937883","3.7583413208794","770.2145501266","824.17526244603","7.0059326080716","2.8051664425341","3.0016945130423","2828.8767105016","10.302934444774","2713.1249297236","9.8813596886901","509.37752505282","1.8551827404772","17.09641004045","0.062266125361293","39.960526692308","0.14553857556291","8.0823759846153","0.029436486085935","462.38265495435","1.68402467478"
"01007","AL","Bibb","1044.867327361","969.37884098476","-7.2246958441037","4.559752683225","4.2303244206186","491.44906623858","596.16282880721","21.307144475842","2.1446609916587","2.6016270076684","275.06087499396","224.38812462","-18.422376637563","3.4585800954855","2.8214274439833","53.818772024703","0.67671032345912","249.20475269842","232.64267017069","-6.6459737819582","1.087518013085","1.0152418510613","150.55332339614","137.68823094644","-8.5452065484077","0.6570077390187","0.60086507068053","540.51223870605","2.3587704067469","419.09994248401","1.8289327623129","8.5967624819323","0.03751587380289","1.9943179868424","0.0087031114415988","2.5130971809849","0.010967039847196","0","0","5.2592440417229","0.022951097716443"
"01009","AL","Blount","1548.1755592339","3724.4282423386","140.56885668584","2.7008400949616","6.4973801373619","609.02770839259","1650.9594816612","171.08117724538","1.062467653593","2.8801498232113","705.46678273698","719.93144402445","2.0503674505197","3.2693798439938","3.3364141441489","175.37033843787","0.81272749299224","384.91160735107","910.68611300921","136.59616795567","0.67149019111522","1.5887200603768","195.04905121375","505.9142824477","159.3779766164","0.34026909600807","0.88258309627664","3387.2412657612","5.9091470391145","95.842687272774","0.16720052906872","497.48989129053","0.86788648562599","8.4289943962358","0.014704641143428","28.938242231008","0.050483657637571","1.0628511774121","0.001854176716465","202.91418653419","0.35399006757299"
"01011","AL","Bullock","4089.9835478141","4141.9003653662","1.2693649484206","37.474652261445","37.950342361794","2199.3598279351","2154.7892998356","-2.0265227878334","20.151730144174","19.74335074066","272.8442582796","415.86130084074","52.417098114111","7.2855609687477","11.1044406099","225.32252498891","6.0166228301444","607.09786821529","616.71538989874","1.5841797817088","5.5625606396856","5.6506816006848","554.38802074052","566.53935436072","2.1918463541065","5.0796043681558","5.1909414913022","1462.196456545","13.397438670927","2634.5066850344","24.138782160843","24.078889407146","0.22062387215637","0.96874820490484","0.0088761975893792","7.7052875798217","0.070600032800272","0","0","36.523171319978","0.33464514678375"
"01013","AL","Butler","1307.8197055302","1304.3287563086","-0.26692893575608","6.2434702130623","6.2268045844684","593.22513862219","612.93476079422","3.3224522847779","2.8320291145376","2.9261219305591","395.03167176685","320.16830104094","-18.95123254069","4.652357458095","3.7706783775873","91.437795292508","1.0768789929632","264.82607712267","264.14011557959","-0.25902341284739","1.2642673276492","1.2609925792696","254.95442831489","254.76814018634","-0.073067226082815","1.2171405371408","1.2162512063128","729.73241167102","3.4837084626487","550.90110263274","2.629976142802","11.084901894285","0.052918804097413","4.9554983563867","0.023657317784822","7.2987591861747","0.034843935581108","0","0","11.440987161198","0.054618738536295"
"01015","AL","Calhoun","30901.150585143","27785.986765365","-10.081060933943","26.061085741273","23.433851807649","11909.162857929","10883.209968774","-8.6148195418384","10.043823885849","9.1785665829829","1252.1501859394","1235.2896294946","-1.3465282866321","2.6455181296389","2.6098954796954","1931.2563575214","4.0803202077316","6959.8871064057","6167.7644870202","-11.381256725506","5.8697560186264","5.2017040169857","4974.957133028","4455.312467951","-10.44520889692","4.1957267592923","3.7574743345402","21058.358957231","17.759976180912","5465.7251803422","4.6096255273945","970.89319056813","0.81882163627849","235.07120252761","0.19825186597815","118.2965151005","0.099767664457463","21.961506791238","0.018521663454473","886.57346439095","0.74770895691306"
"01017","AL","Chambers","6748.2132226153","7131.5057166538","5.6799108355662","19.722967185782","20.843214136062","3018.284746604","3533.9162158948","17.083592589163","8.8215249060472","10.328558281148","616.6968134431","730.20106673243","18.405195359388","4.4261595739834","5.2408028904933","502.63202833452","3.6074932055876","1531.6766769995","1595.3538499064","4.1573508210396","4.4766233435612","4.6627322808896","1170.8054672614","1266.4334747245","8.1677110448462","3.4219069626227","3.7013984355532","4281.110416452","12.51237882932","2616.9630131652","7.6485839928838","126.78663112156","0.37055861792067","108.49340560987","0.31709310422293","20.688145735127","0.060465134400487","0.061101226019673","0.00017858023095038","104.1896200823","0.30451445296595"
"01019","AL","Cherokee","79.410234562587","103.5224988836","30.364177179211","0.3055532516164","0.39833198231405","34.483862348017","57.464901716419","66.642881056864","0.1326863763439","0.22111240030944","378.73745929419","299.88692283549","-20.819312831018","3.5642523931319","2.8221995373187","4.8885633045902","0.046005677626484","17.326046939415","18.747600932897","8.2047220491321","0.066666847279293","0.072136676797478","9.2223396364134","13.779003493488","49.408979030472","0.035485550180512","0.05301859822805","100.8908361721","0.38820591855053","1.4109132979065","0.0054288864439052","0.34895202610642","0.0013426912390104","0","0","0.21704492135905","0.0008351414881644","0","0","1.0037046773359","0.0038620365436759"
