"FIPS","State","County","REDEMP_SNAPS12","REDEMP_SNAPS16","PCH_REDEMP_SNAPS_12_16","PCT_SNAP12","PCT_SNAP16","PCH_SNAP_12_16","PC_SNAPBEN10","PC_SNAPBEN15","PCH_PC_SNAPBEN_10_15","SNAP_PART_RATE08","SNAP_PART_RATE13","SNAP_OAPP09","SNAP_OAPP16","SNAP_CAP09","SNAP_CAP16","SNAP_BBCE09","SNAP_BBCE16","SNAP_REPORTSIMPLE09","SNAP_REPORTSIMPLE16","PCT_NSLP09","PCT_NSLP15","PCH_NSLP_09_15","PCT_FREE_LUNCH09","PCT_FREE_LUNCH14","PCT_REDUCED_LUNCH09","PCT_REDUCED_LUNCH14","PCT_SBP09","PCT_SBP15","PCH_SBP_09_15","PCT_SFSP09","PCT_SFSP15","PCH_SFSP_09_15","PC_WIC_REDEMP08","PC_WIC_REDEMP12","PCH_PC_WIC_REDEMP_08_12","REDEMP_WICS08","REDEMP_WICS12","PCH_REDEMP_WICS_08_12","PCT_WIC09","PCT_WIC15","PCH_WIC_09_15","PCT_CACFP09","PCT_CACFP15","PCH_CACFP_09_15","FDPIR12"
"01001","AL","Autauga","301432.08106904","239024.01557312","-20.703856495495","18.824675227627","16.976435753501","-1.8482394741264","16.692321318405","17.905272402411","7.2665212996375","67","89.184","0","1","0","0","0","1","1","1","12.31505542497","10.934529342481","-1.3805260824889","32.006748709805","","8.2175466454942","","4.5090075664068","5.2329982595109","0.72399069310415","0.56488956206246","1.027108781495","0.46221921943258","19.26266","16.63944","-13.61819","161658.7","184744.3","14.28049","2.9904169041699","2.7193521519644","-0.27106475220546","0.91608993379925","1.0555972767118","0.13950734291259","0"
"01003","AL","Baldwin","274394.50366265","155844.39018931","-43.204259520841","18.824675227627","16.976435753501","-1.8482394741264","14.139211221756","14.15713420721","0.12676085796679","67","89.184","0","1","0","0","0","1","1","1","12.31505542497","10.934529342481","-1.3805260824889","33.216055144683","36.756438750163","8.1604078408846","5.0823637076742","4.5090075664068","5.2329982595109","0.72399069310415","0.56488956206246","1.027108781495","0.46221921943258","17.85356","17.92161","0.3811479","125840.5","126639.4","0.6348812","2.9904169041699","2.7193521519644","-0.27106475220546","0.91608993379925","1.0555972767118","0.13950734291259","0"
"01005","AL","Barbour","325496.56076555","281716.32597156","-13.45029105408","18.824675227627","16.976435753501","-1.8482394741264","27.558242585376","31.633041492196","14.786134834965","67","89.184","0","1","0","0","0","1","1","1","12.31505542497","10.934529342481","-1.3805260824889","68.245838668374","63.931806073522","3.7131882202305","3.4363345764518","4.5090075664068","5.2329982595109","0.72399069310415","0.56488956206246","1.027108781495","0.46221921943258","35.84205","40.42276","12.78026","178230.6","157077.1","-11.86862","2.9904169041699","2.7193521519644","-0.27106475220546","0.91608993379925","1.0555972767118","0.13950734291259","0"
"01007","AL","Bibb","356444.032","256026.91965957","-28.171915735827","18.824675227627","16.976435753501","-1.8482394741264","20.128736635392","19.473132101118","-3.2570575399178","67","89.184","0","1","0","0","0","1","1","1","12.31505542497","10.934529342481","-1.3805260824889","50.278551532033","54.334226988382","11.197771587744","9.1152815013405","4.5090075664068","5.2329982595109","0.72399069310415","0.56488956206246","1.027108781495","0.46221921943258","25.7193","21.74258","-15.46202","92542.33","98263.4","6.182112","2.9904169041699","2.7193521519644","-0.27106475220546","0.91608993379925","1.0555972767118","0.13950734291259","0"
"01009","AL","Blount","229730.02263158","141304.90067257","-38.490886365698","18.824675227627","16.976435753501","-1.8482394741264","19.157856785644","15.795131423816","-17.552722099623","67","89.184","0","1","0","0","0","1","1","1","12.31505542497","10.934529342481","-1.3805260824889","39.681097991725","44.987979512909","9.0826521344233","8.0903104421449","4.5090075664068","5.2329982595109","0.72399069310415","0.56488956206246","1.027108781495","0.46221921943258","17.81256","15.47159","-13.14226","102945.9","149110","44.84305","2.9904169041699","2.7193521519644","-0.27106475220546","0.91608993379925","1.0555972767118","0.13950734291259","0"
"01011","AL","Bullock","211588.91372093","210721.36150376","-0.41001780382267","18.824675227627","16.976435753501","-1.8482394741264","31.648952415857","35.278176311175","11.467121715849","67","89.184","0","1","0","0","0","1","1","1","12.31505542497","10.934529342481","-1.3805260824889","92.119731215638","63.85780118499","0.061087354917532","0","4.5090075664068","5.2329982595109","0.72399069310415","0.56488956206246","1.027108781495","0.46221921943258","","","","","","","2.9904169041699","2.7193521519644","-0.27106475220546","0.91608993379925","1.0555972767118","0.13950734291259","0"
"01013","AL","Butler","345604.86899083","305223.86593548","-11.684153401327","18.824675227627","16.976435753501","-1.8482394741264","29.228529144985","31.257246016761","6.9408791038129","67","89.184","0","1","0","0","0","1","1","1","12.31505542497","10.934529342481","-1.3805260824889","69.692489651094","65.841429019116","8.6043761088114","5.3274835474773","4.5090075664068","5.2329982595109","0.72399069310415","0.56488956206246","1.027108781495","0.46221921943258","40.04169","40.12669","0.212286","134613.5","203713.2","51.33193","2.9904169041699","2.7193521519644","-0.27106475220546","0.91608993379925","1.0555972767118","0.13950734291259","0"
"01015","AL","Calhoun","315617.50259819","261900.11985249","-17.019773080863","18.824675227627","16.976435753501","-1.8482394741264","26.810714165233","26.822656893785","0.044544611823566","67","89.184","0","1","0","0","0","1","1","1","12.31505542497","10.934529342481","-1.3805260824889","48.381188385498","53.568714561291","8.5384905457092","7.1608113637692","4.5090075664068","5.2329982595109","0.72399069310415","0.56488956206246","1.027108781495","0.46221921943258","24.50327","24.13542","-1.501256","126327.7","148999.4","17.94666","2.9904169041699","2.7193521519644","-0.27106475220546","0.91608993379925","1.0555972767118","0.13950734291259","0"
"01017","AL","Chambers","327935.78832117","270583.61066667","-17.488843760576","18.824675227627","16.976435753501","-1.8482394741264","28.089531881728","27.345318176032","-2.6494343473916","67","89.184","0","1","0","0","0","1","1","1","12.31505542497","10.934529342481","-1.3805260824889","64.607308701797","65.349284340953","7.6317383403998","7.3061311685537","4.5090075664068","5.2329982595109","0.72399069310415","0.56488956206246","1.027108781495","0.46221921943258","26.92083","28.52697","5.96619","154673.6","161957.1","4.708968","2.9904169041699","2.7193521519644","-0.27106475220546","0.91608993379925","1.0555972767118","0.13950734291259","0"
"01019","AL","Cherokee","242354.87129032","178751.8756701","-26.243745496672","18.824675227627","16.976435753501","-1.8482394741264","25.119601882848","22.347689756148","-11.034856920214","67","89.184","0","1","0","0","0","1","1","1","12.31505542497","10.934529342481","-1.3805260824889","47.649208282582","51.14899925871","11.327649208283","10.77341240425","4.5090075664068","5.2329982595109","0.72399069310415","0.56488956206246","1.027108781495","0.46221921943258","23.12612","27.36524","18.33041","112915.6","118678.5","5.103687","2.9904169041699","2.7193521519644","-0.27106475220546","0.91608993379925","1.0555972767118","0.13950734291259","0"
